,win,firstBlood,firstTower,firstInhibitor,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,gameId
41383,Win,TRUE,TRUE,TRUE,10,2,1,3,1,4228886267
41384,Win,FALSE,FALSE,TRUE,10,3,0,2,1,4228777845
41385,Win,FALSE,TRUE,FALSE,5,0,0,1,1,4228743008
41386,Win,TRUE,TRUE,TRUE,11,2,1,3,1,4228583037
41387,Win,FALSE,TRUE,TRUE,11,3,2,2,0,4228460913
41388,Win,FALSE,FALSE,TRUE,8,2,1,2,0,4228312079
41389,Win,TRUE,TRUE,FALSE,5,0,1,3,2,4228036457
41390,Win,TRUE,TRUE,TRUE,10,2,0,2,1,4227255534
41391,Win,TRUE,TRUE,TRUE,9,1,0,2,0,4227153176
41392,Win,TRUE,TRUE,TRUE,8,1,1,4,1,4227006147
41393,Win,FALSE,FALSE,FALSE,6,0,1,4,0,4226917852
41394,Win,TRUE,FALSE,TRUE,8,1,2,4,0,4226336030
41395,Win,FALSE,FALSE,TRUE,7,1,0,4,1,4226176683
41396,Win,TRUE,TRUE,TRUE,9,2,1,3,2,4226091793
41398,Win,FALSE,TRUE,TRUE,10,2,1,1,2,4225922237
41400,Win,FALSE,TRUE,FALSE,5,0,0,2,1,4225243194
41401,Win,TRUE,TRUE,TRUE,6,1,0,0,0,4225290992
41402,Win,TRUE,TRUE,TRUE,10,1,2,2,0,4224993681
41403,Win,TRUE,FALSE,TRUE,10,2,1,4,1,4223747804
41405,Win,TRUE,TRUE,TRUE,7,1,1,2,2,4223695999
41406,Win,FALSE,TRUE,FALSE,6,0,1,2,2,4223691615
41407,Win,TRUE,TRUE,TRUE,5,1,1,1,1,4223403256
41409,Win,FALSE,TRUE,FALSE,5,0,0,1,0,4222348383
41410,Win,FALSE,FALSE,TRUE,11,3,0,1,0,4221861936
41411,Win,FALSE,FALSE,FALSE,8,2,1,4,0,4221764106
41412,Win,FALSE,TRUE,FALSE,5,0,0,2,1,4221664683
41413,Win,FALSE,FALSE,TRUE,7,2,1,4,0,4221538323
41414,Win,TRUE,TRUE,TRUE,9,1,1,2,1,4221439813
41415,Win,FALSE,TRUE,TRUE,7,1,0,3,1,4221484847
41417,Win,FALSE,TRUE,TRUE,8,2,1,3,1,4220924396
41418,Win,FALSE,TRUE,TRUE,8,1,0,2,2,4220890203
41419,Win,TRUE,TRUE,TRUE,8,1,0,2,1,4218752977
41420,Win,TRUE,TRUE,FALSE,5,0,0,1,1,4218466857
41421,Win,TRUE,TRUE,TRUE,8,1,0,1,1,4218423774
